"b:tnow in s";"s:Vac_ist";"s:id_ref";"s:iq_ref"
0.512167;0.793698;0.538591;-0.842567
0.513167;0.793698;0.538591;-0.842567
0.514167;0.793698;0.538591;-0.842567
0.515167;0.793698;0.538591;-0.842567
0.516167;0.793698;0.538591;-0.842567
0.517167;0.793698;0.538591;-0.842567
0.518167;0.793698;0.538591;-0.842567
0.519167;0.793698;0.538591;-0.842567
0.520167;0.793698;0.538591;-0.842567
0.521167;0.793698;0.538591;-0.842567
0.522167;0.793698;0.538591;-0.842567
0.523167;0.793698;0.538591;-0.842567
0.524167;0.793698;0.538591;-0.842567
0.525167;0.793698;0.538591;-0.842567
0.526167;0.793698;0.538591;-0.842567
0.527167;0.793698;0.538591;-0.842567
0.528167;0.793698;0.538591;-0.842567
0.529167;0.793698;0.538591;-0.842567
0.530167;0.793698;0.538591;-0.842567
0.531167;0.793698;0.538591;-0.842567
0.532167;0.793698;0.538591;-0.842567
0.533167;0.793698;0.538591;-0.842567
0.534167;0.793698;0.538591;-0.842567
0.535167;0.793698;0.538591;-0.842567
0.536167;0.793698;0.538591;-0.842567
0.537167;0.793698;0.538591;-0.842567
0.538167;0.793698;0.538591;-0.842567
0.539167;0.793698;0.538591;-0.842567
0.540167;0.793698;0.538591;-0.842567
0.541167;0.793698;0.538591;-0.842567
0.542167;0.793698;0.538591;-0.842567
0.543167;0.793698;0.538591;-0.842567
0.544167;0.793698;0.538591;-0.842567
0.545167;0.793698;0.538591;-0.842567
0.546167;0.793698;0.538591;-0.842567
0.547167;0.793698;0.538591;-0.842567
0.548167;0.793698;0.538591;-0.842567
